손님_01,직원_01,손님_02,직원_02
(date)에 (time) (person) 예약 가능한가요?,네. 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?,네 맞습니다.,네 감사합니다.
혹시 (date)에 (time) (person) 예약 가능한가요?,알겠습니다. (date) (time) (person)으로 예약 도와드리겠습니다.,맞습니다.,예약해주셔서 감사합니다.
(date) (time) (person) 식당 예약 가능한가요?,확인했습니다. (date) (time) (person)으로 예약했습니다.,네 맞습니다. 감사합니다.,네. 예약해주셔서 감사합니다.
(date) (time) (person) 예약 가능할까요?,,맞아요 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
(date) (time)로 (person) 예약 가능한가요?,,네 맞아요.,예약했습니다. 감사합니다.
(date) (time)로 (person) 예약하고 싶은데 가능할까요?,,네 맞아요. 감사합니다.,
(date) (time)에 (person) 예약을 하고 싶은데 가능할까요?,,,
(date) (time)에 (person) 예약 하려구요.,,,
안녕하세요. (date) (time) (person) 식당 예약 가능한가요?,,,
안녕하세요. (date) (time) (person) 식당 예약 하려고 하는데,,,
안녕하세요. (date) (time)에 (person) 예약 가능한가요?,,,
아 여보세요. (date) (time) (person)으로 예약 하려는데 가능한가요?,,,
아 여보세요. (date) (time)에 (person) 예약 가능한가요?,,,
아 여보세요. (date) (time)에 (person) 식당 예약 가능한가요?,,,
아 여보세요. (date) (time)에 (person) 식당 예약 하려고 하는데 가능할가요?,,,
아 여보세요. 혹시 (date) (time) (person) 예약 가능한가요?,,,
여보세요. (date) (time) (person)으로 예약 하려는데 가능한가요?,,,
여보세요. (date) (time) (person) 예약 가능한가요?,,,
여보세요. (date) (time) (person) 식당 예약 가능한가요?,,,
여보세요. (date) (time) (person) 식당 예약 하려고 하는데 가능할가요?,,,
여보세요. (date) (time) (person) 혹시 예약 가능한가요?,,,
