손님,직원
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
안녕하세요. 토요일 오후 12시 30분 5명 식당 예약 가능한가요?,네. 확인하번 부탁드립니다. 토요일 오후 12시 30분 5명 맞으실까요?
네 맞습니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
토요일 10시 50분 5명 예약 가능할까요?,알겠습니다. 토요일 10시 50분 5명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
월요일 3시로 5명 예약 가능한가요?,네. 확인하번 부탁드립니다. 월요일 3시 5명 맞으실까요?
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 월요일 오후 6시 5명 식당 예약 가능한가요?,알겠습니다. 월요일 오후 6시 5명으로 예약 도와드리겠습니다.
맞습니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
아 여보세요. 혹시 월요일 7시 2명 예약 가능한가요?,네. 확인하번 부탁드립니다. 월요일 7시 2명 맞으실까요?
네 맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
안녕하세요. 화요일 6시 50분 3명 식당 예약 하려고 하는데,네. 확인하번 부탁드립니다. 화요일 6시 50분 3명 맞으실까요?
맞아요 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
혹시 화요일에 6시 10분 3명 예약 가능한가요?,확인했습니다. 화요일 6시 10분 3명으로 예약했습니다.
맞습니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
안녕하세요. 일요일 3시 5명 식당 예약 가능한가요?,확인했습니다. 일요일 3시 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 토요일 오후 3시 10분 5명으로 예약 하려는데 가능한가요?,네. 확인하번 부탁드립니다. 토요일 오후 3시 10분 5명 맞으실까요?
네 맞아요.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
토요일 오후 6시로 3명 예약 가능한가요?,알겠습니다. 토요일 오후 6시 3명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
아 여보세요. 토요일 오후 12시 30분 3명으로 예약 하려는데 가능한가요?,네. 확인하번 부탁드립니다. 토요일 오후 12시 30분 3명 맞으실까요?
맞습니다.,예약했습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 월요일 오후 3시 10분 2명 식당 예약 가능한가요?,네. 확인하번 부탁드립니다. 월요일 오후 3시 10분 2명 맞으실까요?
네 맞아요.,예약했습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 월요일 7시 3명 예약 가능한가요?,확인했습니다. 월요일 7시 3명으로 예약했습니다.
네 맞아요. 감사합니다.,예약했습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. 화요일 오후 3시 10분에 3명 식당 예약 가능한가요?,확인했습니다. 화요일 오후 3시 10분 3명으로 예약했습니다.
네 맞습니다. 감사합니다.,예약했습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 일요일 10시 50분 3명 예약 가능한가요?,확인했습니다. 일요일 10시 50분 3명으로 예약했습니다.
맞습니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
안녕하세요. 토요일 10시 50분 3명 식당 예약 가능한가요?,네. 확인하번 부탁드립니다. 토요일 10시 50분 3명 맞으실까요?
네 맞습니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
월요일 10시 50분 5명 예약 가능할까요?,알겠습니다. 월요일 10시 50분 5명으로 예약 도와드리겠습니다.
맞습니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
안녕하세요. 토요일 오후 6시 5명 식당 예약 가능한가요?,확인했습니다. 토요일 오후 6시 5명으로 예약했습니다.
네 맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 일요일 3시 3명 식당 예약 하려고 하는데 가능할가요?,알겠습니다. 일요일 3시 3명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
토요일 오후 12시 30분로 3명 예약 가능한가요?,네. 확인하번 부탁드립니다. 토요일 오후 12시 30분 3명 맞으실까요?
맞아요 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 일요일 6시 10분 2명 식당 예약 가능한가요?,알겠습니다. 일요일 6시 10분 2명으로 예약 도와드리겠습니다.
네 맞습니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
혹시 토요일에 오후 6시 3명 예약 가능한가요?,확인했습니다. 토요일 오후 6시 3명으로 예약했습니다.
네 맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
토요일 6시 10분 2명 예약 가능할까요?,네. 확인하번 부탁드립니다. 토요일 6시 10분 2명 맞으실까요?
네 맞아요.,예약했습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
일요일 3시로 2명 예약 가능한가요?,확인했습니다. 일요일 3시 2명으로 예약했습니다.
네 맞습니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. 화요일 10시 50분에 2명 식당 예약 가능한가요?,알겠습니다. 화요일 10시 50분 2명으로 예약 도와드리겠습니다.
네 맞습니다.,예약했습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
아 여보세요. 화요일 오후 6시에 5명 식당 예약 가능한가요?,확인했습니다. 화요일 오후 6시 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
안녕하세요. 토요일 오후 3시 10분 3명 식당 예약 하려고 하는데,알겠습니다. 토요일 오후 3시 10분 3명으로 예약 도와드리겠습니다.
맞아요 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
화요일 6시 10분로 5명 예약하고 싶은데 가능할까요?,확인했습니다. 화요일 6시 10분 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
안녕하세요. 월요일 7시에 5명 예약 가능한가요?,알겠습니다. 월요일 7시 5명으로 예약 도와드리겠습니다.
네 맞아요.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
안녕하세요. 토요일 10시 50분에 2명 예약 가능한가요?,확인했습니다. 토요일 10시 50분 2명으로 예약했습니다.
네 맞아요.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 토요일 오후 12시 30분 5명 예약 가능한가요?,네. 확인하번 부탁드립니다. 토요일 오후 12시 30분 5명 맞으실까요?
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
토요일 7시 2명 식당 예약 가능한가요?,알겠습니다. 토요일 7시 2명으로 예약 도와드리겠습니다.
네 맞습니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
화요일 6시 10분에 5명 예약을 하고 싶은데 가능할까요?,확인했습니다. 화요일 6시 10분 5명으로 예약했습니다.
맞습니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. 혹시 일요일 오후 12시 30분 5명 예약 가능한가요?,확인했습니다. 일요일 오후 12시 30분 5명으로 예약했습니다.
맞아요 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
안녕하세요. 일요일 3시 2명 식당 예약 하려고 하는데,확인했습니다. 일요일 3시 2명으로 예약했습니다.
맞아요 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
아 여보세요. 월요일 오후 3시 10분에 2명 예약 가능한가요?,네. 확인하번 부탁드립니다. 월요일 오후 3시 10분 2명 맞으실까요?
네 맞습니다. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
혹시 일요일에 10시 50분 5명 예약 가능한가요?,확인했습니다. 일요일 10시 50분 5명으로 예약했습니다.
맞아요 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 일요일 10시 50분 5명 식당 예약 하려고 하는데 가능할가요?,알겠습니다. 일요일 10시 50분 5명으로 예약 도와드리겠습니다.
네 맞아요.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
안녕하세요. 토요일 6시 50분 5명 식당 예약 가능한가요?,알겠습니다. 토요일 6시 50분 5명으로 예약 도와드리겠습니다.
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
일요일 오후 6시로 5명 예약 가능한가요?,알겠습니다. 일요일 오후 6시 5명으로 예약 도와드리겠습니다.
네 맞아요.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
화요일 6시 10분에 2명 예약을 하고 싶은데 가능할까요?,알겠습니다. 화요일 6시 10분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
안녕하세요. 토요일 6시 10분 2명 식당 예약 하려고 하는데,알겠습니다. 토요일 6시 10분 2명으로 예약 도와드리겠습니다.
맞아요 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 토요일 10시 50분 5명 혹시 예약 가능한가요?,확인했습니다. 토요일 10시 50분 5명으로 예약했습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
화요일 오후 3시 10분 3명 예약 가능할까요?,알겠습니다. 화요일 오후 3시 10분 3명으로 예약 도와드리겠습니다.
네 맞아요.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
안녕하세요. 화요일 오후 3시 10분 2명 식당 예약 가능한가요?,알겠습니다. 화요일 오후 3시 10분 2명으로 예약 도와드리겠습니다.
네 맞아요.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
안녕하세요. 일요일 오후 3시 10분 2명 식당 예약 하려고 하는데,알겠습니다. 일요일 오후 3시 10분 2명으로 예약 도와드리겠습니다.
네 맞습니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
