손님,직원
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. 일요일 5명 예약 가능한가요?,일요일 5명 가능합니다. 시간을 알려주세요.
7시 30분 입니다.,네. 확인하번 부탁드립니다. 토요일 7시 30분 3명 맞으실까요?
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
일요일 2명 예약을 하고 싶은데 가능할까요?,일요일 가능합니다. 시간을 알려주세요.
8시 50분이요.,확인했습니다. 일요일 8시 50분 2명으로 예약했습니다.
네 맞습니다. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
아 여보세요. 금요일 3명 예약 가능한가요?,금요일 예약 가능합니다. 시간을 알려주세요.
5시 30분으로 하려고요.,네. 확인하번 부탁드립니다. 토요일 5시 30분 2명 맞으실까요?
네 맞습니다. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
아 여보세요. 토요일 3명 예약 하려는데 가능한가요?,네 가능합니다. 시간을 알려주세요.
7시 30분입니다.,알겠습니다. 월요일 7시 30분 3명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
토요일 5명 예약 가능할까요?,토요일 5명 가능합니다. 시간을 알려주세요.
오후 1시 20분입니다.,확인했습니다. 금요일 오후 1시 20분 2명으로 예약했습니다.
네 맞습니다. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
일요일 3명 예약하고 싶은데 가능할까요?,일요일 3명 가능합니다. 시간을 알려주세요.
8시 50분이요.,네. 확인하번 부탁드립니다. 금요일 8시 50분 2명 맞으실까요?
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
금요일 5명 식당 예약 가능한가요?,금요일 예약 가능합니다. 시간을 알려주세요.
3시이요.,네. 확인하번 부탁드립니다. 일요일 3시 2명 맞으실까요?
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 금요일 5명 혹시 예약 가능한가요?,금요일 예약 가능합니다. 시간을 알려주세요.
오후 1시 20분입니다.,확인했습니다. 일요일 오후 1시 20분 3명으로 예약했습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 월요일 3명 예약 가능한가요?,네 가능합니다. 시간을 알려주세요.
시간은 오후 10시 50분이에요.,알겠습니다. 금요일 오후 10시 50분 3명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
안녕하세요. 금요일 3명 식당 예약 가능한가요?,가능합니다. 시간을 알려주시겠어요?
시간은 4시 20분이에요.,확인했습니다. 토요일 4시 20분 3명으로 예약했습니다.
맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. 월요일 2명 예약 가능한가요?,월요일 예약 가능합니다. 시간을 알려주세요.
시간은 3시이에요.,알겠습니다. 월요일 3시 5명으로 예약 도와드리겠습니다.
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
금요일 2명 식당 예약 가능한가요?,금요일 예약 가능합니다. 시간을 알려주세요.
8시 50분으로 하려고요.,알겠습니다. 토요일 8시 50분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
아 여보세요. 월요일 3명 식당 예약 하려고 하는데 가능할가요?,월요일 3명 가능합니다. 시간을 알려주세요.
8시 50분이요.,네. 확인하번 부탁드립니다. 토요일 8시 50분 3명 맞으실까요?
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
아 여보세요. 토요일 5명 식당 예약 하려고 하는데 가능할가요?,네 가능합니다. 시간을 알려주세요.
4시 20분 입니다.,네. 확인하번 부탁드립니다. 월요일 4시 20분 2명 맞으실까요?
네 맞습니다. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. 월요일 5명 예약 가능한가요?,가능합니다. 시간을 알려주시겠어요?
3시이요.,알겠습니다. 일요일 3시 5명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
안녕하세요. 월요일 2명 식당 예약 하려고 하는데,네 가능합니다. 시간을 알려주세요.
4시 20분으로 하려고요.,확인했습니다. 월요일 4시 20분 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 토요일 3명 예약 하려는데 가능한가요?,네 가능합니다. 시간을 알려주세요.
시간은 오후 10시 50분이에요.,네. 확인하번 부탁드립니다. 월요일 오후 10시 50분 5명 맞으실까요?
네 맞습니다. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. 일요일 3명 식당 예약 하려고 하는데 가능할가요?,일요일 예약 가능합니다. 시간을 알려주세요.
시간은 3시이에요.,확인했습니다. 금요일 3시 5명으로 예약했습니다.
네 맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
아 여보세요. 금요일 2명 예약 하려는데 가능한가요?,금요일 예약 가능합니다. 시간을 알려주세요.
8시 50분으로 하려고요.,확인했습니다. 일요일 8시 50분 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
혹시 월요일에 5명 예약 가능한가요?,월요일 예약 가능합니다. 시간을 알려주세요.
5시 30분입니다.,네. 확인하번 부탁드립니다. 일요일 5시 30분 2명 맞으실까요?
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 토요일 3명 예약 가능한가요?,토요일 3명 가능합니다. 시간을 알려주세요.
5시 30분 입니다.,확인했습니다. 월요일 5시 30분 3명으로 예약했습니다.
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
여보세요. 일요일 3명 식당 예약 하려고 하는데 가능할가요?,일요일 가능합니다. 시간을 알려주세요.
오후 10시 50분이요.,알겠습니다. 일요일 오후 10시 50분 3명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 토요일 3명 혹시 예약 가능한가요?,토요일 가능합니다. 시간을 알려주세요.
오후 1시 20분이요.,확인했습니다. 월요일 오후 1시 20분 5명으로 예약했습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
아 여보세요. 월요일 2명 예약 하려는데 가능한가요?,네 가능합니다. 시간을 알려주세요.
3시으로 하려고요.,알겠습니다. 금요일 3시 5명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
월요일 3명 예약을 하고 싶은데 가능할까요?,월요일 예약 가능합니다. 시간을 알려주세요.
시간은 8시이에요.,네. 확인하번 부탁드립니다. 토요일 8시 3명 맞으실까요?
네 맞습니다. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
아 여보세요. 토요일 2명 식당 예약 가능한가요?,네 가능합니다. 시간을 알려주세요.
4시 20분입니다.,알겠습니다. 일요일 4시 20분 5명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
월요일 5명 예약하고 싶은데 가능할까요?,월요일 가능합니다. 시간을 알려주세요.
7시 30분이요.,알겠습니다. 월요일 7시 30분 5명으로 예약 도와드리겠습니다.
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. 금요일 2명 예약 가능한가요?,가능합니다. 시간을 알려주시겠어요?
4시 20분으로 하려고요.,알겠습니다. 금요일 4시 20분 3명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 일요일 5명 혹시 예약 가능한가요?,일요일 예약 가능합니다. 시간을 알려주세요.
4시 20분으로 하려고요.,네. 확인하번 부탁드립니다. 월요일 4시 20분 5명 맞으실까요?
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 일요일 2명 식당 예약 하려고 하는데 가능할가요?,가능합니다. 시간을 알려주시겠어요?
5시 30분이요.,네. 확인하번 부탁드립니다. 일요일 5시 30분 2명 맞으실까요?
네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
월요일에 5명 예약 가능한가요?,월요일 5명 예약 가능합니다. 시간을 알려주세요.
시간은 5시 30분이에요.,알겠습니다. 일요일 5시 30분 5명으로 예약 도와드리겠습니다.
네 맞습니다. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
안녕하세요. 토요일 3명 식당 예약 가능한가요?,토요일 가능합니다. 시간을 알려주세요.
7시 30분이요.,네. 확인하번 부탁드립니다. 일요일 7시 30분 3명 맞으실까요?
네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 월요일 2명 식당 예약 가능한가요?,월요일 예약 가능합니다. 시간을 알려주세요.
오후 1시 20분이요.,알겠습니다. 금요일 오후 1시 20분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
아 여보세요. 금요일 2명 식당 예약 하려고 하는데 가능할가요?,금요일 2명 가능합니다. 시간을 알려주세요.
오후 10시 50분 입니다.,알겠습니다. 월요일 오후 10시 50분 3명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
월요일 3명 예약 하려구요.,월요일 예약 가능합니다. 시간을 알려주세요.
4시 20분입니다.,알겠습니다. 토요일 4시 20분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 금요일 5명 예약 하려는데 가능한가요?,금요일 예약 가능합니다. 시간을 알려주세요.
시간은 8시 50분이에요.,알겠습니다. 토요일 8시 50분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 토요일 5명 예약 가능한가요?,토요일 5명 가능합니다. 시간을 알려주세요.
8시 50분이요.,확인했습니다. 금요일 8시 50분 5명으로 예약했습니다.
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
아 여보세요. 월요일 5명 식당 예약 가능한가요?,월요일 5명 예약 가능합니다. 시간을 알려주세요.
오후 10시 50분이요.,확인했습니다. 금요일 오후 10시 50분 2명으로 예약했습니다.
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
일요일 2명 예약 가능할까요?,일요일 예약 가능합니다. 시간을 알려주세요.
