손님,직원
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요 (shop_name) 입니다.
아 여보세요. (date) (time)로 예약 하려는데 가능한가요?,말하신 시간은 예약이 다 차서 어렵습니다. 다른 시간으로 예약 도와드릴까요?
어. 혹시 (time)가 가능할까요?,"네, 인원을 알려주세요."
(person)이에요.,확인했습니다. (date) (time) (person)으로 예약했습니다.
네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
안녕하세요. (date) (time)로 식당 예약 가능한가요?,말하신 시간은 예약이 다 차서 어렵습니다. 다른 시간으로 예약 도와드릴까요?
그럼 (time) 가능할까요?,네 알겠습니다. 인원을 알려주시겠어요?
총 (person)입니다.,알겠습니다. (date) (time) (person)으로 예약 도와드리겠습니다.
네 맞습니다.,예약 완료 되었습니다. 예약 해주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,안녕하세요. (shop_name) 입니다. 무엇을 도와드릴까요?
안녕하세요. (date) (time)로 예약 가능한가요?,"(time)은 이미 예약되어있어, 다른 시간을 알려주시겠어요?"
그렇군요. 그럼 (time)로 바꿀게요.,인원도 알려주세요.
(person)이에요.,확인했습니다. (date) (time) (person)으로 예약했습니다.
맞아요. 감사합니다.,예약 완료 되었습니다. 예약 해주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
(date) (time)로 예약 하려구요.,말하신 시간은 예약이 다 차서 어렵습니다. 다른 시간으로 예약 도와드릴까요?
그럼 (time) 가능할까요?,네. 인원도 알려주세요.
(person) 입니다.,네. 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?
맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,(m_cate)
(m_cate),(m_cate) 예약 주문 시작
(m_cate) 예약 주문 시작,네 (shop_name) 입니다. 예약 도와드릴까요?
여보세요. (date) (time)로 식당 예약 하려고 하는데 가능할가요?,말하신 시간은 예약이 다 차서 어렵습니다. 다른 시간으로 예약 도와드릴까요?
그럼 (time)로 변경할게요.,인원도 알려주세요.
총 (person)입니다.,확인했습니다. (date) (time) (person)으로 예약했습니다.
