손님,직원
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
목요일에 예약 가능한가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
그럼 일요일 가능할까요?,"네, 해당 날짜 가능합니다. 인원은 어떻게 되실까요?"
5명이요.,몇 시로 예약 도와드릴까요?
오후 11시 50분 입니다.,확인했습니다. 일요일 오후 11시 50분 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. 월요일에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그렇군요. 그럼 목요일로 할게요.,인원도 알려주세요.
인원은 5명이에요.,시간은 어떻게 되시나요?
8시 30분 입니다.,확인했습니다. 토요일 8시 30분 2명으로 예약했습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
토요일에 예약 하려구요.,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
어. 혹시 월요일가 가능할까요?,인원도 알려주세요.
4명 입니다.,시간을 알려주세요.
12시 50분으로 할게요.,알겠습니다. 월요일 12시 50분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
월요일에 예약 가능할까요?,목요일는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그렇군요. 그럼 월요일로 할게요.,"네, 인원을 알려주세요."
2명이에요.,마지막으로 시간도 알려주세요.
8시 30분으로 할게요.,확인했습니다. 토요일 8시 30분 5명으로 예약했습니다.
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 일요일에 예약 하려는데 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그럼 월요일로 변경할게요.,"네, 인원을 알려주세요."
5명이에요.,마지막으로 시간도 알려주세요.
오후 2시 20분이에요.,알겠습니다. 일요일 오후 2시 20분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
아 여보세요. 토요일에 예약 가능한가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
그럼 일요일 가능할까요?,"네, 인원을 알려주세요."
총 4명입니다.,몇 시로 예약 도와드릴까요?
오후 2시 20분이에요.,알겠습니다. 일요일 오후 2시 20분 2명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
아 여보세요. 월요일에 예약 가능한가요?,일요일는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그럼 목요일로 변경할게요.,네 알겠습니다. 인원을 알려주시겠어요?
4명이요.,시간을 알려주세요.
11시 10분으로 할게요.,확인했습니다. 토요일 11시 10분 5명으로 예약했습니다.
네 맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
아 여보세요. 토요일에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
어. 혹시 일요일가 가능할까요?,"네, 인원을 알려주세요."
2명이에요.,시간은 어떻게 되시나요?
오후 2시 20분으로 할게요.,확인했습니다. 월요일 오후 2시 20분 2명으로 예약했습니다.
맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
토요일에 예약 하려구요.,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그렇군요. 그럼 월요일로 할게요.,"네, 해당 날짜 가능합니다. 인원은 어떻게 되실까요?"
총 2명입니다.,마지막으로 시간도 알려주세요.
8시 30분이에요.,알겠습니다. 토요일 8시 30분 2명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
혹시 목요일에 예약 가능한가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
그럼 월요일로 변경할게요.,"네, 해당 날짜 가능합니다. 인원은 어떻게 되실까요?"
총 4명입니다.,마지막으로 시간도 알려주세요.
12시 50분 입니다.,확인했습니다. 토요일 12시 50분 5명으로 예약했습니다.
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
여보세요. 월요일에 식당 예약 가능한가요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
어. 혹시 목요일가 가능할까요?,"네, 해당 날짜 가능합니다. 인원은 어떻게 되실까요?"
5명이에요.,마지막으로 시간도 알려주세요.
8시 30분으로 할게요.,확인했습니다. 월요일 8시 30분 2명으로 예약했습니다.
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
토요일에 예약 가능한가요?,예약이 다 차 다른 날로 예약 진행해드릴까요?
그렇군요. 그럼 월요일로 할게요.,네 알겠습니다. 인원을 알려주시겠어요?
5명이에요.,시간은 어떻게 되시나요?
오후 11시 40분으로 할게요.,확인했습니다. 토요일 오후 11시 40분 2명으로 예약했습니다.
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. 목요일에 예약 하려는데 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
어. 혹시 월요일가 가능할까요?,네. 인원도 알려주세요.
인원은 4명이에요.,시간은 어떻게 되시나요?
오후 11시 40분이에요.,네. 확인하번 부탁드립니다. 일요일 오후 11시 40분 4명 맞으실까요?
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
토요일에 예약을 하고 싶은데 가능할까요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
그럼 목요일로 변경할게요.,"네, 해당 날짜 가능합니다. 인원은 어떻게 되실까요?"
5명이요.,시간은 어떻게 되시나요?
12시 50분 입니다.,확인했습니다. 월요일 12시 50분 4명으로 예약했습니다.
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
아 여보세요. 혹시 일요일에 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
어. 혹시 토요일가 가능할까요?,"네, 인원을 알려주세요."
총 5명입니다.,시간은 어떻게 되시나요?
오후 11시 50분 입니다.,알겠습니다. 일요일 오후 11시 50분 5명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
안녕하세요. 토요일에 식당 예약 하려고 하는데,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그렇군요. 그럼 목요일로 할게요.,네 알겠습니다. 인원을 알려주시겠어요?
2명 입니다.,시간은 어떻게 되시나요?
8시 30분으로 할게요.,네. 확인하번 부탁드립니다. 일요일 8시 30분 2명 맞으실까요?
맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
아 여보세요. 혹시 일요일에 예약 가능한가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
어. 혹시 토요일가 가능할까요?,"네, 인원을 알려주세요."
2명 입니다.,시간을 알려주세요.
오후 6시 10분 입니다.,알겠습니다. 월요일 오후 6시 10분 2명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
안녕하세요. 월요일에 식당 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
그렇군요. 그럼 목요일로 할게요.,네. 인원도 알려주세요.
2명이요.,시간은 어떻게 되시나요?
12시 50분 입니다.,확인했습니다. 토요일 12시 50분 2명으로 예약했습니다.
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
토요일에 예약 가능할까요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그럼 일요일 가능할까요?,네 알겠습니다. 인원을 알려주시겠어요?
2명이에요.,마지막으로 시간도 알려주세요.
오후 6시 10분이에요.,확인했습니다. 일요일 오후 6시 10분 2명으로 예약했습니다.
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
안녕하세요. 토요일에 예약 가능한가요?,월요일는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그럼 월요일로 변경할게요.,인원도 알려주세요.
4명이요.,시간을 알려주세요.
오후 4시이에요.,알겠습니다. 일요일 오후 4시 2명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
월요일에 식당 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
어. 혹시 목요일가 가능할까요?,"네, 해당 날짜 가능합니다. 인원은 어떻게 되실까요?"
4명 입니다.,시간을 알려주세요.
11시 10분이에요.,네. 확인하번 부탁드립니다. 목요일 11시 10분 5명 맞으실까요?
맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
월요일에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
어. 혹시 일요일가 가능할까요?,"네, 해당 날짜 가능합니다. 인원은 어떻게 되실까요?"
5명이요.,마지막으로 시간도 알려주세요.
오후 6시 10분 입니다.,알겠습니다. 토요일 오후 6시 10분 4명으로 예약 도와드리겠습니다.
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
월요일에 예약을 하고 싶은데 가능할까요?,토요일는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그럼 일요일로 변경할게요.,인원도 알려주세요.
5명이요.,마지막으로 시간도 알려주세요.
오후 4시이에요.,확인했습니다. 목요일 오후 4시 5명으로 예약했습니다.
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 목요일에 예약 하려는데 가능한가요?,목요일는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
그럼 토요일로 변경할게요.,"네, 인원을 알려주세요."
4명이에요.,몇 시로 예약 도와드릴까요?
오후 4시 입니다.,알겠습니다. 일요일 오후 4시 5명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
여보세요. 일요일에 예약 가능한가요?,일요일는 예약이 다 찼습니다. 다른 날짜 가능하실까요?
어. 혹시 일요일가 가능할까요?,네. 인원도 알려주세요.
총 2명입니다.,마지막으로 시간도 알려주세요.
오후 2시 20분으로 할게요.,네. 확인하번 부탁드립니다. 토요일 오후 2시 20분 2명 맞으실까요?
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
목요일에 예약 가능한가요?,"예약이 다 차서 어려운데, 혹시 다른 날짜 가능하신가요?"
그럼 일요일 가능할까요?,네 알겠습니다. 인원을 알려주시겠어요?
2명 입니다.,몇 시로 예약 도와드릴까요?
오후 6시 10분 입니다.,네. 확인하번 부탁드립니다. 월요일 오후 6시 10분 5명 맞으실까요?
네 맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
혹시 토요일에 예약 가능한가요?,말하신 날짜는 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그렇군요. 그럼 월요일로 할게요.,네. 인원도 알려주세요.
4명이에요.,시간은 어떻게 되시나요?
11시 10분으로 할게요.,알겠습니다. 목요일 11시 10분 4명으로 예약 도와드리겠습니다.
네 맞습니다. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
