손님,직원
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
아 여보세요. 일요일 3명 예약 하려는데 가능한가요?,월요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
어. 혹시 토요일가 가능할까요?,일요일 시간은 몇시로 예약하실까요?
7시 30분으로 하려고요.,확인했습니다. 토요일 7시 30분 2명으로 예약했습니다.
맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
금요일 5명 식당 예약 가능한가요?,토요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
그렇군요. 그럼 금요일로 바꿀게요.,시간도 알려주시겠어요?
8시 입니다.,네. 확인하번 부탁드립니다. 월요일 8시 2명 맞으실까요?
맞아요.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
토요일 3명 예약하고 싶은데 가능할까요?,"월요일은 이미 예약되어있어, 다른 날짜을 알려주시겠어요?"
월요일로 바꿀게요.,"월요일로 바꾸시고, 시간은 어떻게 되실까요?"
오후 10시 50분으로 하려고요.,네. 확인하번 부탁드립니다. 금요일 오후 10시 50분 2명 맞으실까요?
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
여보세요. 월요일 2명 예약 하려는데 가능한가요?,토요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
어. 혹시 일요일가 가능할까요?,일요일 시간은 몇시로 예약하실까요?
4시 20분으로 하려고요.,확인했습니다. 일요일 4시 20분 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
아 여보세요. 혹시 토요일 3명 예약 가능한가요?,일요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
그럼 일요일로 변경할게요.,"토요일로 바꾸시고, 시간은 어떻게 되실까요?"
8시 입니다.,확인했습니다. 월요일 8시 5명으로 예약했습니다.
네 맞습니다. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. 일요일 2명 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그럼 월요일 가능할까요?,시간도 알려주시겠어요?
8시 50분이요.,네. 확인하번 부탁드립니다. 금요일 8시 50분 5명 맞으실까요?
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
월요일 2명 예약하고 싶은데 가능할까요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
월요일로 바꿀게요.,몇시로 예약 도와드릴까요?
오후 10시 50분으로 하려고요.,네. 확인하번 부탁드립니다. 일요일 오후 10시 50분 2명 맞으실까요?
맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
아 여보세요. 일요일 3명 식당 예약 하려고 하는데 가능할가요?,"토요일은 이미 예약되어있어, 다른 날짜을 알려주시겠어요?"
일요일로 바꿀게요.,"금요일로 바꾸시고, 시간은 어떻게 되실까요?"
8시 50분입니다.,네. 확인하번 부탁드립니다. 토요일 8시 50분 5명 맞으실까요?
맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. 일요일 2명 예약 하려는데 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그럼 금요일 가능할까요?,몇시로 예약 도와드릴까요?
4시 20분으로 하려고요.,확인했습니다. 금요일 4시 20분 2명으로 예약했습니다.
맞습니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. 일요일 3명 식당 예약 가능한가요?,말하신 날은 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
일요일로 바꿀게요.,"일요일로 바꾸시고, 시간은 어떻게 되실까요?"
8시 50분입니다.,네. 확인하번 부탁드립니다. 월요일 8시 50분 5명 맞으실까요?
맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. 월요일 3명 식당 예약 가능한가요?,금요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
그럼 토요일 가능할까요?,"금요일로 바꾸시고, 시간은 어떻게 되실까요?"
8시 50분이요.,확인했습니다. 일요일 8시 50분 3명으로 예약했습니다.
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
월요일 2명 예약 가능한가요?,말하신 날은 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
토요일로 바꿀게요.,월요일 시간은 몇시로 예약하실까요?
3시이요.,확인했습니다. 일요일 3시 2명으로 예약했습니다.
네 맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
여보세요. 일요일 3명 식당 예약 가능한가요?,말하신 날은 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그럼 일요일로 변경할게요.,일요일 시간은 몇시로 예약하실까요?
4시 20분으로 하려고요.,확인했습니다. 토요일 4시 20분 5명으로 예약했습니다.
맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
아 여보세요. 금요일 3명 식당 예약 하려고 하는데 가능할가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그렇군요. 그럼 월요일로 할게요.,월요일 시간은 몇시로 예약하실까요?
8시 50분이요.,알겠습니다. 일요일 8시 50분 3명으로 예약 도와드리겠습니다.
맞습니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
안녕하세요. 월요일 3명 식당 예약 하려고 하는데,"금요일은 이미 예약되어있어, 다른 날짜을 알려주시겠어요?"
토요일로 바꿀게요.,몇시로 예약 도와드릴까요?
8시 입니다.,네. 확인하번 부탁드립니다. 월요일 8시 3명 맞으실까요?
맞아요. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
일요일에 2명 예약 가능한가요?,말하신 날은 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
어. 혹시 토요일가 가능할까요?,월요일 시간은 몇시로 예약하실까요?
8시 50분 입니다.,알겠습니다. 토요일 8시 50분 3명으로 예약 도와드리겠습니다.
네 맞습니다. 감사합니다.,알겠습니다. 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
일요일 3명 예약 가능할까요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
어. 혹시 토요일가 가능할까요?,일요일 시간은 몇시로 예약하실까요?
3시으로 하려고요.,네. 확인하번 부탁드립니다. 토요일 3시 2명 맞으실까요?
맞습니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
안녕하세요. 금요일 2명 식당 예약 가능한가요?,토요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
어. 혹시 금요일가 가능할까요?,몇시로 예약 도와드릴까요?
오후 10시 50분 입니다.,네. 확인하번 부탁드립니다. 일요일 오후 10시 50분 3명 맞으실까요?
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
토요일 3명 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그럼 금요일 가능할까요?,몇시로 예약 도와드릴까요?
7시 30분으로 하려고요.,네. 확인하번 부탁드립니다. 금요일 7시 30분 3명 맞으실까요?
맞습니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
월요일 5명 예약 하려구요.,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그럼 월요일 가능할까요?,몇시로 예약 도와드릴까요?
8시 50분 입니다.,알겠습니다. 일요일 8시 50분 5명으로 예약 도와드리겠습니다.
맞습니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요 차이나게이트 입니다.
일요일 2명 식당 예약 가능한가요?,"월요일은 이미 예약되어있어, 다른 날짜을 알려주시겠어요?"
그럼 월요일로 변경할게요.,몇시로 예약 도와드릴까요?
3시입니다.,확인했습니다. 일요일 3시 5명으로 예약했습니다.
맞습니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. 토요일 5명 식당 예약 하려고 하는데 가능할가요?,"토요일은 이미 예약되어있어, 다른 날짜을 알려주시겠어요?"
어. 혹시 금요일가 가능할까요?,금요일 시간은 몇시로 예약하실까요?
시간은 3시이에요.,알겠습니다. 월요일 3시 5명으로 예약 도와드리겠습니다.
맞습니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
금요일 2명 예약 가능한가요?,말하신 날은 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
어. 혹시 금요일가 가능할까요?,"일요일로 바꾸시고, 시간은 어떻게 되실까요?"
오후 10시 50분으로 하려고요.,확인했습니다. 월요일 오후 10시 50분 2명으로 예약했습니다.
맞습니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 예약 도와드릴까요?
여보세요. 토요일 3명 식당 예약 하려고 하는데 가능할가요?,금요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
그렇군요. 그럼 금요일로 할게요.,"월요일로 바꾸시고, 시간은 어떻게 되실까요?"
오후 1시 20분 입니다.,알겠습니다. 금요일 오후 1시 20분 2명으로 예약 도와드리겠습니다.
맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
안녕하세요. 일요일 5명 예약 가능한가요?,말하신 날은 예약이 다 차서 어렵습니다. 다른 날짜로 예약 도와드릴까요?
그럼 토요일 가능할까요?,시간도 알려주시겠어요?
8시 50분으로 하려고요.,확인했습니다. 월요일 8시 50분 2명으로 예약했습니다.
맞아요. 감사합니다.,확인했습니다. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
아 여보세요. 금요일 2명 식당 예약 하려고 하는데 가능할가요?,일요일는 이미 예약되어있습니다. 다른 날짜를 알려주시겠어요?
어. 혹시 토요일가 가능할까요?,몇시로 예약 도와드릴까요?
8시 입니다.,네. 확인하번 부탁드립니다. 월요일 8시 3명 맞으실까요?
네 맞아요. 감사합니다.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 차이나게이트 입니다. 무엇을 도와드릴까요?
일요일에 2명 예약 가능한가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
월요일로 바꿀게요.,몇시로 예약 도와드릴까요?
8시 입니다.,알겠습니다. 월요일 8시 5명으로 예약 도와드리겠습니다.
맞아요.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
안녕하세요. 일요일 3명 예약 가능한가요?,기다려 주셔서 감사합니다. 확인해 보니 해당 날짜는 예약이 어렵습니다. 다른 날로 예약을 도와드릴까요?
금요일로 바꿀게요.,몇시로 예약 도와드릴까요?
오후 1시 20분으로 하려고요.,네. 확인하번 부탁드립니다. 일요일 오후 1시 20분 5명 맞으실까요?
맞습니다.,네. 예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네 차이나게이트 입니다. 예약 도와드릴까요?
토요일 3명 식당 예약 가능한가요?,"토요일은 이미 예약되어있어, 다른 날짜을 알려주시겠어요?"
그럼 토요일 가능할까요?,월요일 시간은 몇시로 예약하실까요?
오후 10시 50분이요.,확인했습니다. 금요일 오후 10시 50분 2명으로 예약했습니다.
맞아요.,예약해주셔서 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,안녕하세요. 무엇을 도와드릴까요?
여보세요. 토요일 2명 식당 예약 하려고 하는데 가능할가요?,해당 날짜는 예약이 다 차서 어려울 것 같습니다. 다른 날짜 가능하실까요?
그럼 토요일로 변경할게요.,시간도 알려주시겠어요?
8시으로 하려고요.,알겠습니다. 금요일 8시 5명으로 예약 도와드리겠습니다.
네 맞습니다. 감사합니다.,네 감사합니다.
예약,중식당
중식당,중식당 예약 주문 시작
중식당 예약 주문 시작,네. 무엇을 도와드릴까요?
